Store,Customers,DayOfWeek,Open,Promo,Sales,SchoolHoliday,StateHoliday,AverageDailySales,AverageDailyCustomer,SalesPerCustomer
827,1302475,3766,783,360,10000214,173,24,12771.665389527458,1663.441890166028,7.677854853260139
831,1228453,3766,779,360,9884733,170,29,12689.002567394095,1576.961489088575,8.046488551047537
261,739220,3766,779,360,9828244,167,25,12616.487804878048,948.9345314505777,13.295424907334759
1014,1051375,3766,779,360,9509102,170,29,12206.806161745828,1349.6469833119384,9.044443704672453
444,1105765,3766,777,360,9470625,172,31,12188.706563706564,1423.1209781209782,8.564771899996835
469,1192174,3766,784,360,9330742,173,24,11901.456632653062,1520.6301020408164,7.8266612088503855
125,1233970,3766,784,360,9280089,173,24,11836.848214285714,1573.9413265306123,7.520514275063413
1018,1063112,3766,782,360,9187204,173,24,11748.342710997442,1359.4782608695652,8.641802557021274
1097,2280508,3766,942,360,9179413,150,29,9744.599787685775,2420.9214437367305,4.025161499104586
390,832564,3766,780,360,9023552,173,24,11568.65641025641,1067.3897435897436,10.838268289284668
1075,856724,3766,784,360,9004545,173,24,11485.389030612245,1092.7602040816328,10.510438600996354
640,685137,3766,779,360,8984969,170,29,11533.978177150193,879.5083440308088,13.114120241645102
449,1198781,3766,781,360,8789176,193,27,11253.74647887324,1534.93085787452,7.331761180732761
479,1039144,3766,782,360,8782548,168,29,11230.879795396419,1328.8286445012789,8.451714103146436
207,1019499,3766,784,360,8768418,159,24,11184.206632653062,1300.3813775510205,8.600712703004122
416,1096337,3766,784,360,8633413,169,24,11012.00637755102,1398.3890306122448,7.8747802910966245
1066,877097,3766,779,360,8626583,170,29,11073.919127086008,1125.9268292682927,9.835380807367942
234,798258,3766,779,360,8625334,170,29,11072.315789473685,1024.721437740693,10.805195813884733
726,830336,3766,780,360,8617965,172,31,11048.673076923076,1064.5333333333333,10.378888787189764
432,1218907,3766,784,360,8610571,169,24,10982.871173469388,1554.7283163265306,7.06417388693313
906,992530,3766,781,360,8535775,193,27,10929.289372599233,1270.8450704225352,8.600017127945755
532,996269,3766,779,360,8487100,170,29,10894.865211810013,1278.9075738125803,8.518883956039986
963,791630,3766,779,360,8385406,172,31,10764.320924261874,1016.2130937098844,10.592582393289794
527,781383,3766,781,360,8383796,170,29,10734.693982074265,1000.4903969270166,10.729432301445001
502,1176212,3766,774,360,8377408,193,27,10823.524547803618,1519.653746770026,7.1223622952324925
25,1177772,3766,752,360,8376557,170,29,11139.038563829787,1566.186170212766,7.112205927802664
713,1023424,3766,779,360,8349365,170,29,10718.055198973043,1313.7663671373555,8.158265782315052
195,1011485,3766,779,360,8345567,170,29,10713.17971758665,1298.4403080872914,8.250806487491165
464,1023585,3766,784,360,8343864,173,24,10642.683673469388,1305.593112244898,8.151608317824119
528,744295,3766,779,360,8338762,170,29,10704.444159178434,955.4492939666238,11.203571164659174
645,1031306,3766,777,360,8337410,155,32,10730.2574002574,1327.2921492921494,8.084322208927322
526,1139140,3766,782,360,8312841,167,25,10630.231457800512,1456.700767263427,7.297470899099321
697,782616,3766,779,360,8301159,170,29,10656.173299101412,1004.6418485237484,10.606937501916649
545,799891,3766,779,360,8284865,170,29,10635.256739409499,1026.8177150192555,10.35749245834745
252,630702,3766,779,360,8269484,170,29,10615.512195121952,809.630295250321,13.111555060868683
729,843139,3766,779,360,8217604,170,29,10548.913992297817,1082.3350449293966,9.746440385274552
755,699323,3766,781,360,8187392,167,25,10483.216389244559,895.4199743918053,11.707597204725142
1027,1032892,3033,623,286,8163847,124,29,13104.088282504013,1657.9325842696628,7.903872815357269
57,761161,3766,770,360,8155633,172,31,10591.73116883117,988.5207792207792,10.714727895937916
704,843720,3766,783,360,8138397,173,24,10393.865900383142,1077.5478927203064,9.645850519129569
389,992082,3766,784,360,8104523,169,24,10337.401785714286,1265.4107142857142,8.169206779278326
64,617633,3766,779,360,8070070,170,29,10359.525032092426,792.8536585365854,13.066125028941135
358,874499,3766,779,360,8028461,170,29,10306.111681643133,1122.591784338896,9.18064057248779
525,685569,3766,783,360,8012460,173,24,10233.026819923372,875.5670498084291,11.687313749600696
580,1256554,3766,784,360,7994967,159,24,10197.661989795919,1602.7474489795918,6.3626131467489655
388,854131,3766,779,360,7990920,170,29,10257.920410783056,1096.4454428754814,9.355614068567936
787,890735,3766,780,360,7977175,172,31,10227.147435897436,1141.9679487179487,8.95572195995442
1112,653276,3766,779,360,7974294,170,29,10236.577663671373,838.6084724005135,12.206623234283825
396,840769,3766,780,360,7973232,168,29,10222.092307692308,1077.9089743589743,9.48326115734524
983,1068066,3766,774,360,7941077,170,29,10259.789405684754,1379.9302325581396,7.435005889149172
104,1028904,3766,784,360,7939205,173,24,10126.536989795919,1312.3775510204082,7.716176630667196
42,856938,3766,779,360,7928768,170,29,10178.136071887035,1100.0487804878048,9.252440666652664
1089,781006,3766,779,360,7915233,170,29,10160.761232349165,1002.5750962772786,10.134663498103727
178,720381,3766,780,360,7870142,172,31,10089.92564102564,923.5653846153846,10.924971646947935
1101,774945,3766,784,360,7818257,159,24,9972.266581632653,988.4502551020408,10.08878952699869
679,832152,3766,784,360,7796037,173,24,9943.924744897959,1061.4183673469388,9.36852522135379
709,1017426,3766,784,360,7751342,173,24,9886.915816326531,1297.7372448979593,7.61858061421666
911,712986,3766,784,360,7749768,159,24,9884.908163265307,909.420918367347,10.869453257146704
722,1241124,3766,784,360,7711931,209,24,9836.646683673469,1583.0663265306123,6.213666805250725
799,700034,3766,779,360,7708195,170,29,9894.987163029526,898.6315789473684,11.011172314487583
316,702532,3766,779,360,7677532,170,29,9855.62516046213,901.8382541720154,10.928373369469291
807,767032,3766,781,360,7669453,193,27,9820.042253521127,982.1152368758003,9.998869669062048
333,993414,3766,784,360,7662181,169,24,9773.190051020409,1267.109693877551,7.712978677570479
599,686442,3766,784,360,7659466,173,24,9769.727040816326,875.5637755102041,11.158212929861518
256,967823,3766,776,360,7630314,170,29,9832.87886597938,1247.194587628866,7.883997383819149
615,968524,3766,781,360,7585401,193,27,9712.421254801537,1240.1075544174137,7.83191846562398
157,771078,3766,779,360,7574054,170,29,9722.790757381257,989.8305519897305,9.82268201141778
35,568401,3766,779,360,7558693,170,29,9703.071887034659,729.6546854942234,13.298169778026429
4,1036254,3766,784,360,7556507,173,24,9638.401785714286,1321.7525510204082,7.292137834932362
964,1077174,3766,772,360,7534699,155,32,9759.972797927461,1395.30310880829,6.994876408082631
368,553908,3766,777,360,7526231,155,32,9686.268983268983,712.8803088803089,13.587510922391443
820,677726,3033,622,286,7517399,124,29,12085.850482315112,1089.5916398713825,11.092091789307183
421,795282,3766,784,360,7517189,159,24,9588.251275510203,1014.390306122449,9.452230781031131
533,701034,3766,777,360,7505547,155,32,9659.648648648648,902.2316602316603,10.706395124915481
868,509296,3766,781,360,7480652,193,27,9578.29961587708,652.1075544174136,14.688220602557255
593,965705,3766,784,360,7454238,159,24,9507.956632653062,1231.766581632653,7.718959723725154
914,888608,3766,784,360,7453259,159,24,9506.707908163266,1133.4285714285713,8.387566846123375
1092,724644,3033,622,286,7439455,124,29,11960.538585209004,1165.022508038585,10.26635837735495
843,875136,3766,784,360,7423466,173,24,9468.706632653062,1116.2448979591836,8.482642697820681
431,780912,3766,779,360,7419918,170,29,9524.926829268292,1002.4544287548139,9.501605814739689
1026,919445,3766,779,360,7397085,170,29,9495.616174582798,1180.2888318356868,8.045163114705067
921,853783,3766,780,360,7389638,172,31,9473.894871794872,1094.5935897435897,8.6551711617589
310,627604,3766,897,360,7388018,159,24,8236.363433667782,699.670011148272,11.77178284395893
27,837237,3766,779,360,7383809,170,29,9478.57381258023,1074.7586649550706,8.819257868441074
938,755547,3766,784,360,7375962,209,24,9408.114795918367,963.7079081632653,9.762413192031733
1064,831862,3766,779,360,7365896,170,29,9455.578947368422,1067.8587933247754,8.854709074341658
233,805731,3766,781,360,7365681,193,27,9431.089628681179,1031.6658130601793,9.14161301972991
69,924441,3766,781,360,7362059,193,27,9426.451984635083,1183.663252240717,7.963795417987735
578,697049,3766,901,360,7356117,159,24,8164.39178690344,773.6392896781354,10.55322796532238
362,898633,3766,781,360,7323168,193,27,9376.65556978233,1150.6184379001281,8.149231109919178
626,647107,3766,780,360,7318373,172,31,9382.529487179487,829.624358974359,11.30937078412071
809,624924,3766,779,360,7317626,170,29,9393.61489088575,802.2130937098844,11.70962549045964
24,650800,3766,779,360,7313475,170,29,9388.28626444159,835.4300385109115,11.237669022741242
903,508657,3033,622,286,7300878,124,29,11737.745980707396,817.7765273311898,14.35324393451776
270,944773,3766,784,360,7284633,173,24,9291.623724489797,1205.0676020408164,7.710458491087277
267,881620,3766,784,360,7282702,159,24,9289.160714285714,1124.515306122449,8.260590730700303
269,959027,3766,779,360,7281084,170,29,9346.706033376124,1231.1001283697049,7.592157467933645
608,735209,3766,780,360,7275038,168,29,9326.971794871795,942.5756410256411,9.895197148021856
214,557336,3766,779,360,7269531,170,29,9331.875481386392,715.4505776636714,13.043354457634173
167,823044,3766,780,360,7250708,168,29,9295.779487179487,1055.1846153846154,8.809623786820632
895,685097,3766,777,360,7248912,155,32,9329.359073359074,881.7207207207207,10.580854973821225
995,614734,3766,780,360,7226190,172,31,9264.346153846154,788.1205128205128,11.754986709698828
494,1016989,3766,942,360,7205637,173,24,7649.296178343949,1079.6061571125265,7.085265425683071
459,886078,3766,784,360,7194572,159,24,9176.75,1130.2015306122448,8.119569608996049
846,673539,3766,779,360,7185993,170,29,9224.637997432606,864.620025673941,10.669008030715371
308,720753,3766,768,360,7183229,170,29,9353.162760416666,938.48046875,9.966283872561057
853,792735,3766,777,360,7181892,155,32,9243.104247104247,1020.2509652509652,9.059637836099075
974,971204,3033,622,286,7178474,124,29,11540.95498392283,1561.4212218649518,7.391314286184983
731,737912,3766,776,360,7177402,170,29,9249.2293814433,950.9175257731958,9.726636780537516
355,863704,3766,784,360,7172668,159,24,9148.811224489797,1101.6632653061224,8.304544149384512
1032,752136,3766,780,360,7172255,168,29,9195.198717948719,964.276923076923,9.535848569939478
387,915984,3766,766,360,7171744,170,29,9362.590078328982,1195.8015665796345,7.829551607888347
683,688589,3766,784,360,7171315,173,24,9147.085459183674,878.3022959183673,10.414507057185055
999,515113,3766,780,360,7163321,172,31,9183.744871794872,660.401282051282,13.906309877638499
375,592001,3766,780,360,7148220,168,29,9164.384615384615,758.975641025641,12.074675549534545
411,547362,3766,781,360,7133158,193,27,9133.364916773367,700.8476312419974,13.031883835560379
497,871875,3766,781,360,7077518,193,27,9062.122919334188,1116.3572343149808,8.117583369175627
876,779006,3766,766,360,7069345,168,29,9228.909921671018,1016.9791122715404,9.074827408261298
71,581851,3766,779,360,7058595,170,29,9061.09756097561,746.9204107830552,12.131275876470093
676,1549211,3766,918,360,7057092,193,27,7687.464052287582,1687.5936819172114,4.555281365804916
515,575142,3766,779,360,7056301,170,29,9058.152759948653,738.3080872913993,12.268797966415251
1020,866840,3766,781,360,7054345,193,27,9032.451984635083,1109.910371318822,8.138001245904665
539,710498,3033,622,286,7035419,124,29,11310.963022508038,1142.2797427652733,9.90209543165498
82,653238,3766,779,360,7026310,170,29,9019.653401797175,838.5596919127086,10.756125638741164
381,752849,3766,780,360,7021213,168,29,9001.555128205127,965.1910256410256,9.326190245321438
668,906876,3766,784,360,7009629,173,24,8940.853316326531,1156.7295918367347,7.729423868312757
1053,791662,3766,784,360,7002929,209,24,8932.307397959185,1009.7729591836735,8.845857196631895
1010,633057,3766,784,360,6957339,159,24,8874.156887755102,807.4706632653061,10.990067245129586
245,797211,3766,781,360,6949075,193,27,8897.663252240716,1020.7567221510883,8.716732458533563
384,781105,3766,782,360,6937572,167,25,8871.575447570332,998.8554987212276,8.881740611057412
7,745569,3766,786,360,6930202,159,24,8817.050890585242,948.5610687022901,9.295185288014926
1099,875095,3766,893,360,6914599,159,24,7743.111982082867,979.94960806271,7.901540975551226
574,517928,3766,777,360,6913915,155,32,8898.217503217504,666.5740025740025,13.34918173954681
913,902068,3766,776,360,6900317,150,29,8892.161082474227,1162.458762886598,7.649442170656758
453,811228,3766,887,360,6896821,159,24,7775.446448703495,914.5749718151071,8.501704822811837
342,527685,3033,621,286,6895670,124,29,11104.138486312399,849.7342995169082,13.067777177672285
672,1083587,3766,780,360,6892942,172,31,8837.105128205128,1389.2141025641026,6.361226186729815
667,621178,3766,783,360,6879831,159,24,8786.501915708812,793.330779054917,11.075458242242965
108,527942,3033,622,286,6863994,124,29,11035.360128617363,848.7813504823151,13.001416822302449
826,598363,3766,776,360,6859209,170,29,8839.186855670103,771.0863402061856,11.463290678066658
1043,941445,3766,780,360,6858406,168,29,8792.828205128206,1206.9807692307693,7.284977879748684
85,956508,3766,942,360,6850652,173,24,7272.454352441614,1015.4012738853503,7.162148147218842
372,591494,3766,779,360,6844455,170,29,8786.206675224646,759.2991014120668,11.571469871207485
761,780038,3766,784,360,6843911,173,24,8729.478316326531,994.9464285714286,8.773817429407286
400,938908,3766,782,360,6839152,167,25,8745.718670076727,1200.6496163682864,7.284155636121963
863,814889,3766,887,360,6836861,159,24,7707.847801578354,918.7023675310033,8.389929180538699
1021,817747,3766,770,360,6835866,173,24,8877.748051948052,1062.009090909091,8.359389884646474
450,846853,3766,777,360,6830229,155,32,8790.513513513513,1089.900900900901,8.065424577819291
189,652121,3766,779,360,6826322,150,29,8762.929396662388,837.1258023106546,10.467876360368704
154,575933,3766,781,360,6824045,193,27,8737.57362355954,737.4302176696543,11.848678578931924
878,620669,3766,780,360,6801666,168,29,8720.084615384616,795.7294871794871,10.958604344666803
524,721100,3766,881,360,6793232,159,24,7710.819523269012,818.5017026106697,9.420651781999723
753,595402,3766,779,360,6785308,170,29,8710.279845956355,764.3157894736842,11.396179388043707
1046,533570,3766,780,360,6784716,168,29,8698.353846153846,684.0641025641025,12.715699908165751
1079,538364,3766,781,360,6783229,193,27,8685.312419974392,689.3265044814341,12.599707632754047
1040,674734,3766,779,360,6775360,170,29,8697.509627727855,866.1540436456996,10.041527476012769
148,642470,3766,784,360,6772949,173,24,8638.96556122449,819.4770408163265,10.542047099475463
229,571982,3766,779,360,6734738,150,29,8645.36328626444,734.2516046213094,11.774388005216947
967,719270,3766,779,360,6731473,170,29,8641.172015404365,923.3247753530167,9.358756795083904
106,639877,3766,775,360,6718335,173,24,8668.81935483871,825.6477419354839,10.499416294069016
862,876626,3766,784,360,6715065,159,24,8565.13392857143,1118.1454081632653,7.660125298587995
247,534178,3766,781,360,6698411,193,27,8576.710627400767,683.966709346991,12.53966093699104
445,1052928,3766,776,360,6673717,170,29,8600.150773195875,1356.8659793814434,6.338246299841964
1045,808163,3766,883,360,6654188,159,24,7535.886749716874,915.246885617214,8.233720177736423
872,640124,3766,779,360,6649861,170,29,8536.406931964057,821.7252888318357,10.38839506095694
344,893298,3766,784,360,6649189,169,24,8481.108418367347,1139.4107142857142,7.4434164187090985
905,987344,3766,779,360,6645066,170,29,8530.25160462131,1267.4505776636713,6.730243967654637
814,543698,3766,782,360,6628829,167,25,8476.763427109974,695.2659846547315,12.192115843722066
738,546636,3766,779,360,6628200,170,29,8508.600770218229,701.7150192554557,12.125436304963449
965,707184,3766,781,360,6626600,193,27,8484.763124199744,905.4852752880922,9.37040430778977
662,604735,3766,784,360,6616587,209,24,8439.524234693878,771.3456632653061,10.941299908224263
250,513850,3766,781,360,6615557,193,27,8470.623559539052,657.9385403329065,12.874490610100224
616,646898,3766,779,360,6611772,170,29,8487.512195121952,830.421052631579,10.220733407739706
765,552225,3766,777,360,6609836,155,32,8506.867438867439,710.7142857142857,11.969461723029562
448,577957,3766,779,360,6609087,170,29,8484.065468549423,741.9216944801027,11.435257294227771
1059,904541,3766,784,360,6604849,169,24,8424.552295918367,1153.751275510204,7.301879074580367
150,643191,3766,784,360,6599117,159,24,8417.24107142857,820.3966836734694,10.259964769407532
507,517083,3766,779,360,6587045,170,29,8455.770218228497,663.777920410783,12.738854303854508
33,651485,3766,779,360,6572158,170,29,8436.659820282413,836.3093709884467,10.087965187226107
171,675584,3766,779,360,6566306,170,29,8429.147625160462,867.2451861360719,9.71945161519515
248,872228,3766,784,360,6555942,159,24,8362.170918367347,1112.5357142857142,7.516316834589121
90,822393,3766,778,360,6548246,170,29,8416.768637532134,1057.060411311054,7.962429154917418
376,735270,3766,774,360,6548133,173,24,8460.12015503876,949.9612403100775,8.90575298869803
354,549547,3766,779,360,6536263,170,29,8390.581514762516,705.4518613607189,11.89391080289766
894,797763,3766,771,360,6529198,170,29,8468.47989623865,1034.7120622568093,8.184383081190779
394,516922,3766,781,360,6523885,193,27,8353.245838668374,661.8719590268886,12.620637156089312
687,572085,3766,779,360,6522150,170,29,8372.464698331194,734.3838254172016,11.40066598494979
691,484001,3766,779,360,6521018,170,29,8371.011553273427,621.3106546854942,13.47314984886395
482,720149,3766,782,360,6517671,168,29,8334.617647058823,920.9066496163683,9.050447893422056
985,601984,3766,777,360,6516900,155,32,8387.258687258687,774.7541827541828,10.82570300871784
909,619197,3033,607,286,6512493,124,29,10728.983525535421,1020.0939044481055,10.517643011836297
1093,678171,3766,780,360,6504285,172,31,8338.826923076924,869.45,9.590921758671486
1091,546598,3766,784,360,6488655,159,24,8276.345663265307,697.1913265306123,11.870981964807775
536,687884,3766,779,360,6484095,170,29,8323.613607188703,883.0346598202824,9.426145978100958
707,711970,3766,779,360,6481071,170,29,8319.731707317073,913.9537869062901,9.103011362838322
947,879169,3766,771,360,6470539,155,32,8392.398184176394,1140.2970168612192,7.359835253517811
493,629636,3766,779,360,6462326,170,29,8295.668806161746,808.2618741976894,10.263590391908975
579,709982,3766,779,360,6461297,170,29,8294.347881899872,911.4017971758665,9.100649030538802
173,789125,3766,784,360,6454502,173,24,8232.783163265307,1006.5369897959183,8.179315064153334
123,737109,3766,768,360,6450589,168,29,8399.204427083334,959.77734375,8.751200975703728
948,1589133,3766,928,360,6437314,155,32,6936.760775862069,1712.427801724138,4.050834008229645
147,685221,3766,779,360,6397583,170,29,8212.558408215662,879.6161745827984,9.336525004341665
849,697085,3766,784,360,6393691,209,24,8155.218112244898,889.1390306122449,9.172039277849903
971,761659,3766,773,360,6392792,167,25,8270.106080206986,985.3285899094437,8.393246846685985
510,656074,3766,779,360,6385260,170,29,8196.739409499358,842.2002567394095,9.73253017190134
699,749312,3766,766,360,6373219,193,27,8320.129242819843,978.2140992167102,8.505427645626922
665,975872,3766,775,360,6360621,193,27,8207.252903225806,1259.189677419355,6.517884517641658
158,405068,3766,779,360,6354198,150,29,8156.865211810013,519.9845956354301,15.686743954101534
1080,523432,3033,622,286,6338656,124,29,10190.765273311898,841.5305466237942,12.109798407434013
213,508427,3766,779,360,6334081,170,29,8131.0410783055195,652.6662387676508,12.458191638130941
754,755067,3766,782,360,6324001,167,25,8086.957800511509,965.5588235294117,8.375417015973417
535,718716,3766,779,360,6322186,170,29,8115.771501925546,922.6136071887034,8.796500982307338
730,771672,3766,784,360,6315412,173,24,8055.372448979592,984.2755102040817,8.184062658746203
1039,799824,3766,771,360,6307879,170,29,8181.42542153048,1037.385214007782,7.886583798435656
34,778872,3766,784,360,6296685,173,24,8031.485969387755,993.4591836734694,8.084364311465812
11,885992,3766,784,360,6296286,159,24,8030.977040816327,1130.091836734694,7.106481774101797
982,539497,3766,780,360,6285458,172,31,8058.279487179487,691.6628205128205,11.650589345260492
888,582833,3766,784,360,6271013,159,24,7998.741071428572,743.4094387755102,10.759536608256568
643,799871,3766,784,360,6267634,159,24,7994.431122448979,1020.2436224489796,7.835806023721325
60,556509,3766,780,360,6265808,172,31,8033.087179487179,713.473076923077,11.259131478556501
747,547051,3766,780,360,6261174,168,29,8027.1461538461535,701.3474358974358,11.445320454582845
291,655473,3766,780,360,6257971,172,31,8023.039743589744,840.35,9.547259765085672
655,535521,3766,779,360,6256703,170,29,8031.711168164314,687.4467265725289,11.683394301997494
386,502764,3766,779,360,6255013,170,29,8029.541720154044,645.3966623876765,12.44125076576684
742,679893,3766,779,360,6252167,170,29,8025.888318356868,872.7766367137356,9.19581022307922
838,639466,3766,782,360,6246047,167,25,7987.2723785166245,817.7314578005115,9.767598277312633
928,539545,3766,779,360,6243438,170,29,8014.682926829269,692.612323491656,11.571672427693706
382,507968,3766,780,360,6228961,168,29,7985.847435897436,651.2410256410257,12.262506693335013
944,963947,3766,784,360,6217518,209,24,7930.507653061224,1229.5242346938776,6.450062088475819
54,573426,3766,785,360,6207418,168,29,7907.538853503184,730.4789808917197,10.825142215386117
705,747320,3766,779,360,6206501,170,29,7967.267008985879,959.3324775353017,8.305011240164855
199,486550,3766,779,360,6197488,150,29,7955.697047496791,624.5827984595635,12.737617922104613
1055,775488,3766,783,360,6197127,173,24,7914.593869731801,990.4061302681993,7.991260986630354
957,666924,3766,784,360,6192726,173,24,7898.885204081633,850.6683673469388,9.285504795149073
228,462038,3766,779,360,6190043,170,29,7946.139922978177,593.1168164313223,13.397259532765704
891,851629,3766,776,360,6189692,170,29,7976.407216494846,1097.4600515463917,7.268061562018203
718,667942,3766,781,360,6178736,193,27,7911.313700384123,855.2394366197183,9.250407969554242
434,461312,3033,622,286,6160800,124,29,9904.823151125402,741.6591639871383,13.35495283018868
696,780542,3766,784,360,6154509,169,24,7850.139030612245,995.5892857142857,7.8849171473155835
1011,734852,3766,779,360,6137147,170,29,7878.237483953787,943.3273427471116,8.351541534894102
529,596775,3766,784,360,6133846,159,24,7823.783163265306,761.1926020408164,10.278322650915337
377,760021,3766,784,360,6129725,159,24,7818.526785714285,969.4145408163265,8.065204777236419
271,617651,3766,780,360,6116519,172,31,7841.691025641026,791.8602564102564,9.902872334052725
674,756535,3766,746,360,6112239,170,29,8193.349865951743,1014.1219839142091,8.07925476018955
319,661449,3766,784,360,6105068,159,24,7787.076530612245,843.6849489795918,9.229839337575536
146,547187,3766,779,360,6086195,170,29,7812.83055198973,702.4223363286264,11.122696628392122
118,528277,3766,782,360,6085216,159,24,7781.606138107417,675.5460358056266,11.518987198004078
67,620297,3766,777,360,6083079,155,32,7828.930501930502,798.3230373230373,9.806720006706465
162,433998,3766,781,360,6066911,193,27,7768.131882202305,555.6952624839948,13.979122023603795
822,499161,3766,784,360,6066329,159,24,7737.664540816327,636.6849489795918,12.153050819274743
465,472261,3766,781,360,6062752,193,27,7762.806658130602,604.6875800256082,12.837714738248554
496,650918,3766,784,360,6059458,173,24,7728.900510204082,830.2525510204082,9.309095769359581
951,559971,3766,779,360,6058267,170,29,7776.97946084724,718.8331193838254,10.81889419273498
484,580053,3766,784,360,6050653,159,24,7717.669642857143,739.8635204081633,10.431207148312309
784,642805,3766,779,360,6038270,170,29,7751.309370988447,825.1668806161746,9.393626371916833
552,538809,3766,781,360,6030778,193,27,7721.866837387965,689.8962868117798,11.192793735813618
200,753802,3766,779,360,6021315,170,29,7729.5442875481385,967.6534017971759,7.987926537738026
587,427184,3033,623,286,6020227,124,29,9663.285714285714,685.6886035313001,14.09281948762126
721,592864,3766,784,360,6015956,159,24,7673.413265306122,756.204081632653,10.147278296540184
327,723138,3766,778,360,6012573,168,29,7728.242930591259,929.4832904884319,8.314558217103789
975,579446,3766,779,360,6010559,170,29,7715.736842105263,743.8331193838254,10.37294070543243
466,588740,3766,779,360,6007933,170,29,7712.365853658536,755.7637997432606,10.20473044128138
1086,655364,3766,781,360,5996057,193,27,7677.409731113957,839.134443021767,9.149201054681063
357,781188,3766,768,360,5986921,172,31,7795.470052083333,1017.171875,7.663867084491825
791,631301,3766,779,360,5973977,170,29,7668.776636713736,810.3992297817715,9.462961408266422
741,721461,3766,784,360,5973663,209,24,7619.468112244898,920.2308673469388,8.279952762519388
16,662375,3766,777,360,5967891,155,32,7680.683397683398,852.4774774774775,9.009837327797698
370,495158,3766,779,360,5959072,170,29,7649.643132220795,635.6328626444159,12.034687917795935
95,658101,3766,780,360,5958064,172,31,7638.54358974359,843.7192307692308,9.053418852121483
77,517673,3766,781,360,5952383,193,27,7621.489116517286,662.8335467349552,11.498345480641254
12,703211,3766,784,360,5950245,159,24,7589.598214285715,896.952806122449,8.461535726830212
417,626318,3766,779,360,5946326,170,29,7633.281129653402,804.002567394095,9.49410044099004
739,476019,3033,622,286,5944868,124,29,9557.665594855305,765.3038585209003,12.488719988067704
993,587207,3766,780,360,5942063,172,31,7618.029487179487,752.8294871794872,10.119196467344565
760,953570,3766,777,360,5935009,173,24,7638.3642213642215,1227.2458172458173,6.223988799983221
80,450064,3766,779,360,5933077,150,29,7616.2734274711165,577.7458279845956,13.18274067688151
651,738819,3766,779,360,5932759,170,29,7615.865211810013,948.4197689345315,8.030057429492203
1085,596091,3766,784,360,5932711,173,24,7567.2334183673465,760.3201530612245,9.95269346458846
