Store,Customers,DayOfWeek,Open,Promo,Sales,SchoolHoliday,StateHoliday,AverageDailySales,AverageDailyCustomer,SalesPerCustomer,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
31,459464,3766,784,360,4596143,159,38,5862.427295918367,586.0510204081633,10.003271202966936,d,c,9800.0,7.0,2012.0,0,,,
32,296333,3033,621,286,2526117,124,39,4067.8212560386473,477.1867954911433,8.524588891551058,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
33,651485,3766,779,360,6572158,170,43,8436.659820282413,836.3093709884467,10.087965187226107,a,c,1320.0,5.0,2013.0,0,,,
34,778872,3766,784,360,6296685,173,38,8031.485969387755,993.4591836734694,8.084364311465812,c,a,2240.0,9.0,2009.0,0,,,
35,568401,3766,779,360,7558693,170,43,9703.071887034659,729.6546854942234,13.298169778026429,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,678178,3033,622,286,5824183,124,39,9363.638263665594,1090.3183279742766,8.587985750053821,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,609251,3766,780,360,5549053,168,43,7114.170512820513,781.0910256410257,9.107991615934976,c,a,4230.0,12.0,2014.0,0,,,
38,417034,3766,779,360,4677617,170,43,6004.643132220795,535.3453145057766,11.21639242843509,d,a,1090.0,4.0,2007.0,0,,,
39,490471,3766,779,360,3780153,170,43,4852.571245186136,629.6161745827984,7.707189619773646,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
40,515125,3766,776,360,3804215,170,43,4902.3389175257735,663.8208762886597,7.385032759039068,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
41,247531,3033,622,286,3318407,124,39,5335.059485530546,397.959807073955,13.406025911905983,d,c,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,856938,3766,779,360,7928768,170,43,10178.136071887035,1100.0487804878048,9.252440666652664,a,c,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,475314,3766,779,360,5315050,170,43,6822.9139922978175,610.1591784338896,11.182186933269376,d,a,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,501806,3766,784,360,4295144,173,38,5478.5,640.0586734693877,8.559371549961538,a,a,540.0,6.0,2011.0,0,,,
45,323582,3766,779,360,4166458,150,43,5348.469833119384,415.38125802310657,12.876049965696485,d,a,9710.0,2.0,2014.0,0,,,
46,410832,3033,622,286,3329125,124,39,5352.290996784566,660.5016077170418,8.103373154963586,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,721790,3766,784,360,5601760,169,38,7145.102040816327,920.6505102040817,7.760927693650507,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,336519,3766,784,360,3085014,169,38,3934.966836734694,429.2334183673469,9.167428882173072,a,a,1060.0,5.0,2012.0,0,,,
49,413137,3766,777,360,5675296,155,46,7304.113256113256,531.7078507078508,13.737079951686729,d,c,18010.0,9.0,2007.0,0,,,
50,279505,3766,779,360,3315479,150,43,4256.070603337613,358.7997432605905,11.861966691114649,d,a,6260.0,11.0,2009.0,0,,,
51,309126,3033,622,286,4152028,124,39,6675.286173633441,496.9871382636656,13.431506893629136,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
52,313176,3033,622,286,4607742,124,39,7407.945337620578,503.4983922829582,14.712947352287532,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
53,444300,3766,784,360,4127609,159,38,5264.807397959184,566.7091836734694,9.29013954535224,a,c,30360.0,9.0,2013.0,0,,,
54,573426,3766,785,360,6207418,168,43,7907.538853503184,730.4789808917197,10.825142215386117,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
55,435992,3766,780,360,3587212,172,45,4598.989743589744,558.9641025641025,8.227701425714233,a,a,720.0,11.0,2004.0,0,,,
56,395919,3766,781,360,5718290,193,41,7321.754161331626,506.93854033290654,14.443080529098124,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
57,761161,3766,770,360,8155633,172,45,10591.73116883117,988.5207792207792,10.714727895937916,d,c,420.0,6.0,2014.0,0,,,
58,319691,3033,623,286,3947427,124,39,6336.158908507223,513.1476725521669,12.347632557688518,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
59,441060,3766,782,360,4302026,167,39,5501.312020460358,564.0153452685422,9.753833945494945,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
60,556509,3766,780,360,6265808,172,45,8033.087179487179,713.473076923077,11.259131478556501,d,c,5540.0,10.0,2009.0,0,,,
61,444241,3766,777,360,3668998,155,46,4722.005148005148,571.7387387387388,8.259026069183168,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,559309,3766,779,360,5066512,170,43,6503.86649550706,717.9833119383825,9.058520424309283,a,a,2050.0,,,0,,,
63,500860,3766,784,360,5453808,159,38,6956.3877551020405,638.8520408163265,10.888887114163639,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
64,617633,3766,779,360,8070070,170,43,10359.525032092426,792.8536585365854,13.066125028941135,d,c,22560.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
65,355602,3766,780,360,3988058,168,43,5112.8948717948715,455.9,11.214948172394982,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,407192,3766,777,360,4750858,155,46,6114.360360360361,524.056628056628,11.667365763570993,d,a,7660.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
67,620297,3766,777,360,6083079,155,46,7828.930501930502,798.3230373230373,9.806720006706465,a,c,410.0,2.0,2006.0,0,,,
68,903132,3766,784,360,5929590,159,38,7563.252551020408,1151.954081632653,6.565585097195094,a,c,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
69,924441,3766,781,360,7362059,193,41,9426.451984635083,1183.663252240717,7.963795417987735,c,c,1130.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,531054,3766,782,360,5167478,209,38,6608.028132992327,679.0971867007672,9.730607433519001,c,c,4840.0,,,0,,,
71,581851,3766,779,360,7058595,170,43,9061.09756097561,746.9204107830552,12.131275876470093,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
72,295838,3033,623,286,2753676,124,39,4420.025682182985,474.86035313001605,9.30805373211014,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,387402,3766,784,360,3588351,159,38,4576.978316326531,494.13520408163265,9.262603187386745,a,c,1650.0,9.0,2008.0,0,,,
74,662877,3766,776,360,4855145,170,43,6256.630154639175,854.2229381443299,7.324352783397221,a,a,330.0,,,0,,,
75,503438,3766,784,360,4722388,159,38,6023.4540816326535,642.140306122449,9.38027721387738,d,c,22440.0,12.0,2013.0,0,,,
76,578204,3033,623,286,5606718,124,39,8999.54735152488,928.0963081861959,9.696781758687246,d,c,19960.0,3.0,2006.0,0,,,
77,517673,3766,781,360,5952383,193,41,7621.489116517286,662.8335467349552,11.498345480641254,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
78,385990,3766,780,360,2899629,168,43,3717.473076923077,494.85897435897436,7.512186844218762,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
79,435499,3766,777,360,4253485,155,46,5474.240669240669,560.4877734877734,9.766922541727995,a,a,3320.0,,,0,,,
80,450064,3766,779,360,5933077,150,43,7616.2734274711165,577.7458279845956,13.18274067688151,d,a,7910.0,,,0,,,
81,349252,3033,622,286,4345098,124,39,6985.688102893891,561.4983922829582,12.441154238200497,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,653238,3766,779,360,7026310,170,43,9019.653401797175,838.5596919127086,10.756125638741164,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,269409,3766,779,360,3028523,170,43,3887.7060333761233,345.8395378690629,11.241357935332525,a,a,2710.0,,,0,,,
84,1084610,3766,779,360,10092722,170,43,12955.997432605905,1392.3106546854942,9.30539272180784,a,c,11810.0,8.0,2014.0,0,,,
85,956508,3766,942,360,6850652,173,38,7272.454352441614,1015.4012738853503,7.162148147218842,b,a,1870.0,10.0,2011.0,0,,,
86,470659,3766,778,360,3652727,170,43,4695.021850899743,604.9601542416452,7.760877832995863,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
87,578159,3766,784,360,4598287,173,38,5865.161989795918,737.4477040816327,7.9533259881797225,a,a,560.0,12.0,2010.0,0,,,
88,478523,3766,780,360,4699058,168,43,6024.433333333333,613.4910256410257,9.819920881545924,a,a,10690.0,10.0,2005.0,0,,,
89,388237,3033,622,286,3714173,124,39,5971.33922829582,624.1752411575562,9.56676720662894,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
90,822393,3766,778,360,6548246,170,43,8416.768637532134,1057.060411311054,7.962429154917418,a,a,330.0,11.0,2007.0,0,,,
91,477638,3766,778,360,4324904,155,46,5559.002570694088,613.9305912596401,9.054773698910052,c,a,2410.0,,,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,426158,3766,779,360,4671417,170,43,5996.684210526316,547.0577663671373,10.961701997850563,c,a,240.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
93,470169,3766,779,360,4646872,170,43,5965.175866495507,603.5545571245186,9.883407880995982,a,a,16690.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,498672,3766,779,360,5547371,170,43,7121.14377406932,640.1437740693196,11.124288109218083,d,c,14620.0,,,0,,,
95,658101,3766,780,360,5958064,172,45,7638.54358974359,843.7192307692308,9.053418852121483,a,a,1890.0,10.0,2014.0,0,,,
96,423364,3766,780,360,4037973,172,45,5176.888461538461,542.774358974359,9.537827968367646,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
97,537288,3766,780,360,5228649,172,45,6703.3961538461535,688.8307692307692,9.73155737704918,d,c,8980.0,,,0,,,
98,351785,3766,779,360,3980584,170,43,5109.863928112965,451.5853658536585,11.315388660687637,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,289554,3033,622,286,3191184,124,39,5130.520900321543,465.5209003215434,11.0210323462981,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,415849,3033,606,286,4826434,124,39,7964.412541254125,686.2194719471947,11.60621764149968,d,a,17930.0,,,0,,,
101,609290,3766,784,360,5856384,159,38,7469.877551020408,777.155612244898,9.61181703293998,d,c,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
102,808768,3766,771,360,5444156,170,43,7061.162127107653,1048.9857328145265,6.731418651578697,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
103,266040,3766,631,360,2959073,173,38,4689.497622820919,421.6164817749604,11.122662005713426,d,c,5210.0,5.0,2015.0,0,,,
104,1028904,3766,784,360,7939205,173,38,10126.536989795919,1312.3775510204082,7.716176630667196,a,a,390.0,6.0,2009.0,0,,,
105,388347,3766,754,360,3348791,155,46,4441.3673740053055,515.0490716180371,8.623192660172474,a,c,6190.0,,,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,639877,3766,775,360,6718335,173,38,8668.81935483871,825.6477419354839,10.499416294069016,a,a,1390.0,8.0,2013.0,0,,,
107,748964,3766,784,360,5751886,209,38,7336.589285714285,955.3112244897959,7.679789682815195,a,a,1930.0,9.0,2009.0,0,,,
108,527942,3033,622,286,6863994,124,39,11035.360128617363,848.7813504823151,13.001416822302449,d,c,2190.0,9.0,2003.0,0,,,
109,582023,3766,784,360,5068030,159,38,6464.323979591837,742.3762755102041,8.707611211240794,a,c,3300.0,11.0,2010.0,0,,,
110,460552,3766,784,360,3554993,159,38,4534.429846938776,587.4387755102041,7.718982872726641,a,c,46590.0,4.0,2013.0,0,,,
111,466784,3766,781,360,5288733,193,41,6771.745198463508,597.6747759282971,11.330150562144375,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,608379,3766,784,360,4883888,209,38,6229.448979591837,775.9936224489796,8.02770641327199,a,a,1630.0,9.0,2009.0,0,,,
113,434973,3033,622,286,4477826,124,39,7199.077170418006,699.3135048231511,10.294491842022378,d,c,20930.0,11.0,1999.0,0,,,
114,476770,3766,784,360,4191703,167,39,5346.559948979592,608.125,8.7918765861946,c,a,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
115,343372,3033,622,286,4585191,124,39,7371.689710610933,552.0450160771704,13.353421362254348,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,593708,3766,783,360,5711629,173,38,7294.54533844189,758.2477650063857,9.620266191461122,a,a,680.0,4.0,2013.0,0,,,
117,383319,3766,779,360,3024044,170,43,3881.956354300385,492.06546854942235,7.889105418724352,a,a,3450.0,9.0,2011.0,0,,,
118,528277,3766,782,360,6085216,159,38,7781.606138107417,675.5460358056266,11.518987198004078,d,c,3580.0,9.0,2012.0,0,,,
119,521332,3766,784,360,4707987,159,38,6005.085459183673,664.9642857142857,9.030688697413549,a,c,2100.0,2.0,2010.0,0,,,
120,498431,3766,781,360,5552990,193,41,7110.102432778489,638.1959026888604,11.140940270569045,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,393208,3766,780,360,3473474,172,45,4453.171794871795,504.1128205128205,8.833680901711054,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,702496,3766,885,360,5718883,159,38,6462.014689265537,793.780790960452,8.140805072199699,a,c,58260.0,4.0,2013.0,0,,,
123,737109,3766,768,360,6450589,168,43,8399.204427083334,959.77734375,8.751200975703728,a,a,16760.0,9.0,2011.0,0,,,
124,409507,3766,779,360,3446410,170,43,4424.1463414634145,525.6829268292682,8.415997772931842,a,a,1410.0,4.0,2003.0,0,,,
125,1233970,3766,784,360,9280089,173,38,11836.848214285714,1573.9413265306123,7.520514275063413,a,a,760.0,12.0,2005.0,0,,,
126,423630,3766,779,360,5069540,170,43,6507.75353016688,543.8125802310655,11.966905082265184,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
127,411023,3033,623,286,3263370,124,39,5238.154093097914,659.7479935794543,7.939628682579807,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,464447,3766,781,360,5822099,193,41,7454.672215108835,594.6824583866837,12.535550880940129,d,c,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
129,724918,3033,622,286,5727451,124,39,9208.120578778135,1165.4630225080386,7.900826024460698,a,a,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
130,448095,3766,781,360,3999550,193,41,5121.062740076824,573.7451984635084,8.925674243185039,c,a,900.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,435381,3766,779,360,4109540,170,43,5275.404364569961,558.8973042362003,9.43895117150266,c,a,920.0,7.0,2015.0,0,,,
132,362256,3033,622,286,3908185,124,39,6283.255627009647,582.4051446945338,10.788461750806059,d,c,1040.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,593403,3766,782,360,5057788,167,39,6467.759590792839,758.8273657289003,8.52336102109359,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,387764,3766,784,360,3705099,173,38,4725.8915816326535,494.5969387755102,9.555036052856892,a,a,1200.0,9.0,2008.0,0,,,
135,421569,3766,781,360,4648837,193,41,5952.416133162612,539.7810499359795,11.027464068752684,d,a,5190.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,263716,3033,622,286,3414045,124,39,5488.818327974276,423.98070739549837,12.945915302825767,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
137,595429,3033,622,286,5147039,124,39,8274.98231511254,957.2813504823151,8.6442531351345,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,557266,3766,780,360,5721236,172,45,7334.917948717949,714.4435897435898,10.266615942835198,a,c,25360.0,10.0,2014.0,0,,,
139,319593,3033,622,286,4020701,124,39,6464.1495176848875,513.8151125401929,12.580691692246075,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,752581,3766,781,360,5833328,193,41,7469.049935979513,963.6120358514725,7.751096559705865,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,475445,3766,777,360,4305156,155,46,5540.741312741313,611.8983268983269,9.055003207521375,c,c,1540.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,443045,3766,779,360,3586489,170,43,4603.965340179718,568.7355584082156,8.095089663578191,a,a,1090.0,7.0,2002.0,0,,,
143,453411,3766,779,360,4919195,150,43,6314.756097560976,582.0423620025674,10.849306699661014,d,a,2930.0,12.0,2002.0,0,,,
144,455556,3033,625,286,4823879,124,39,7718.2064,728.8896,10.588992352202583,a,c,16570.0,,,0,,,
145,770814,3033,608,286,5072096,124,39,8342.263157894737,1267.7861842105262,6.580181470497422,a,a,280.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
146,547187,3766,779,360,6086195,170,43,7812.83055198973,702.4223363286264,11.122696628392122,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,685221,3766,779,360,6397583,170,43,8212.558408215662,879.6161745827984,9.336525004341665,d,c,8540.0,,,0,,,
148,642470,3766,784,360,6772949,173,38,8638.96556122449,819.4770408163265,10.542047099475463,a,a,2090.0,12.0,2008.0,0,,,
149,302428,3033,622,286,3462975,124,39,5567.483922829582,486.21864951768487,11.450576666181703,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,643191,3766,784,360,6599117,159,38,8417.24107142857,820.3966836734694,10.259964769407532,c,c,31830.0,3.0,2010.0,0,,,
151,508566,3766,780,360,5269496,168,43,6755.764102564102,652.0076923076923,10.361479139384072,d,c,4360.0,10.0,2005.0,0,,,
152,484073,3766,779,360,4317171,170,43,5541.939666238768,621.403080872914,8.918429658336656,a,a,1780.0,,,0,,,
153,493792,3766,779,360,5505047,170,43,7066.812580231065,633.8793324775353,11.148513949193182,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,575933,3766,781,360,6824045,193,41,8737.57362355954,737.4302176696543,11.848678578931924,d,c,16420.0,,,0,,,
155,411372,3033,623,286,4290509,124,39,6886.852327447833,660.3081861958267,10.429754577365498,d,a,3050.0,,,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,557269,3766,782,360,5443980,167,39,6961.611253196931,712.6202046035805,9.769034344275386,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,771078,3766,779,360,7574054,170,43,9722.790757381257,989.8305519897305,9.82268201141778,a,c,2950.0,10.0,2004.0,0,,,
158,405068,3766,779,360,6354198,150,43,8156.865211810013,519.9845956354301,15.686743954101534,d,c,11840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,433591,3033,623,286,4827383,124,39,7748.60834670947,695.9727126805778,11.133494468289241,d,a,8530.0,3.0,2013.0,0,,,
160,436723,3766,781,360,4475644,193,41,5730.658130601792,559.1843790012804,10.248244310466818,d,c,17110.0,11.0,2005.0,0,,,
161,638171,3766,779,360,5649774,170,43,7252.598202824133,819.2182284980745,8.85307229566997,a,c,2970.0,3.0,2005.0,0,,,
162,433998,3766,781,360,6066911,193,41,7768.131882202305,555.6952624839948,13.979122023603795,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,682711,3766,784,360,5722186,173,38,7298.706632653061,870.8048469387755,8.381564087879058,a,a,1480.0,4.0,2009.0,0,,,
164,394629,3033,623,286,3868966,124,39,6210.218298555377,633.4333868378812,9.80405900225275,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,262891,3033,622,286,2486031,124,39,3996.8344051446948,422.65434083601286,9.456508591013005,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,636652,3766,779,360,4533193,170,43,5819.24646983312,817.2682926829268,7.120362458611612,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,823044,3766,780,360,7250708,168,43,9295.779487179487,1055.1846153846154,8.809623786820632,a,a,140.0,4.0,2008.0,0,,,
168,568177,3766,777,360,5840824,155,46,7517.148005148005,731.2445302445302,10.27993741386927,a,a,12540.0,,,0,,,
169,526944,3766,766,360,5529699,170,43,7218.92819843342,687.9164490861618,10.49390257788304,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,423591,3766,779,360,3902355,170,43,5009.441591784339,543.7625160462131,9.212554091092587,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,675584,3766,779,360,6566306,170,43,8429.147625160462,867.2451861360719,9.71945161519515,a,a,2640.0,,,0,,,
172,540457,3033,622,286,4342600,124,39,6981.672025723473,868.9019292604502,8.035051817258358,a,a,110.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,789125,3766,784,360,6454502,173,38,8232.783163265307,1006.5369897959183,8.179315064153334,a,a,350.0,12.0,2012.0,0,,,
174,298263,3033,622,286,3692528,124,39,5936.540192926045,479.5225080385852,12.38010748902814,a,a,13090.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,541515,3766,784,360,4535086,169,38,5784.548469387755,690.7079081632653,8.374811408732906,c,a,4130.0,,,0,,,
176,492327,3766,779,360,4111700,170,43,5278.177150192554,631.9987163029525,8.351563087135176,a,a,3770.0,,,0,,,
177,378516,3766,780,360,3115395,168,43,3994.096153846154,485.2769230769231,8.23055035982627,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,720381,3766,780,360,7870142,172,45,10089.92564102564,923.5653846153846,10.924971646947935,d,a,1710.0,,,0,,,
